MONTH_YEAR,PAYMENT_AMOUNT,NUMBER_OF_PAYMENTS,LETTERS_COUNT
1990,20,1,1
1992,10,1,1
1993,440.47,18,47
1994,18028.23,39,85
1995,6171.59,71,155
1996,12345.61,112,470
1997,47154.63,161,884
1998,73412.34,348,1551
1999,117905.67,827,6729
2000,427391.32,3545,18879
2001,704466.38,4970,25874
2002,767880.87,5660,30416
2003,969280.52,7145,34259
2004,1558613.24,10839,43365
2005,2100746.16,14990,58933
2006,2839305.89,18277,89733
2007,2896091.61,22014,111294
2008,3316634.05,24865,138572
2009,13790278.16,94429,434848
2010,28968496.62,192750,771046
2011,30538995.47,199375,818040
2012,36978572.12,252774,1144275
2013,43567638.73,300179,1402093
2014,53836786.99,445815,1848468
2015,110639569.1,960566,3105929
2016,136939643.3,1299470,3832559
2017,152137413,1430454,4338264
2018,212813317.2,1716141,5452867
2019,224249740.3,1753980,6110939
2020,226958615,1734673,4788878
2021,184370971.2,1265736,5316473
2022,154943435.8,1087333,5231844